id	name	source	reference	confidence	roles
cpx00279	mscpx.279	ModelSEED	null	1.0	ftr09159;triggering;0;1
cpx00280	mscpx.280	ModelSEED	null	1.0	ftr09955;triggering;0;1
cpx00281	mscpx.281	ModelSEED	null	1.0	ftr09163;triggering;0;1
cpx00282	mscpx.282	ModelSEED	null	1.0	ftr05177;triggering;0;1
cpx00283	mscpx.283	ModelSEED	null	1.0	ftr02462;triggering;0;1
cpx00284	mscpx.284	ModelSEED	null	1.0	ftr05911;triggering;0;1
cpx00285	mscpx.285	ModelSEED	null	1.0	ftr02302;triggering;0;1|ftr02301;triggering;0;1|ftr02300;triggering;0;1|ftr02303;triggering;0;1
cpx00286	mscpx.286	ModelSEED	null	1.0	ftr01524;triggering;0;1
cpx00287	mscpx.287	ModelSEED	null	1.0	ftr05110;triggering;0;1
cpx00288	mscpx.288	ModelSEED	null	1.0	ftr00519;triggering;0;1
cpx00289	mscpx.289	ModelSEED	null	1.0	ftr03525;triggering;0;1
cpx00290	mscpx.290	ModelSEED	null	1.0	ftr03664;triggering;0;1
cpx00291	mscpx.291	ModelSEED	null	1.0	ftr00172;triggering;0;1
cpx00292	mscpx.292	ModelSEED	null	1.0	ftr07471;triggering;0;1
cpx00293	mscpx.293	ModelSEED	null	1.0	ftr01521;triggering;0;1
cpx00294	mscpx.294	ModelSEED	null	1.0	ftr01529;triggering;0;1
cpx00295	mscpx.295	ModelSEED	null	1.0	ftr01520;triggering;0;1
cpx00296	mscpx.296	ModelSEED	null	1.0	ftr10022;triggering;0;1
cpx00297	mscpx.297	ModelSEED	null	1.0	ftr03042;triggering;0;1
cpx00298	mscpx.298	ModelSEED	null	1.0	ftr01840;triggering;0;1
cpx00299	mscpx.299	ModelSEED	null	1.0	ftr01839;triggering;0;1
cpx00300	mscpx.300	ModelSEED	null	1.0	ftr10838;triggering;0;1
cpx00301	mscpx.301	ModelSEED	null	1.0	ftr09929;triggering;0;1
cpx00302	mscpx.302	ModelSEED	null	1.0	ftr07794;triggering;0;1
cpx00303	mscpx.303	ModelSEED	null	1.0	ftr07795;triggering;0;1
cpx00304	mscpx.304	ModelSEED	null	1.0	ftr04685;triggering;0;1|ftr00226;triggering;0;1
cpx00305	mscpx.305	ModelSEED	null	1.0	ftr09214;triggering;0;1
cpx00306	mscpx.306	ModelSEED	null	1.0	null
cpx00307	mscpx.307	ModelSEED	null	1.0	ftr03948;triggering;0;1|ftr03945;triggering;0;1
cpx00308	mscpx.308	ModelSEED	null	1.0	ftr11184;triggering;0;1
cpx00309	mscpx.309	ModelSEED	null	1.0	ftr03937;triggering;0;1|ftr03934;triggering;0;1|ftr03938;triggering;0;1|ftr03936;triggering;0;1|ftr03935;triggering;0;1|ftr03928;triggering;0;1
cpx00310	mscpx.310	ModelSEED	null	1.0	ftr02288;triggering;0;1|ftr02280;triggering;0;1|ftr02291;triggering;0;1|ftr02285;triggering;0;1|ftr02289;triggering;0;1|ftr01615;triggering;0;1|ftr02290;triggering;0;1|ftr02283;triggering;0;1|ftr02282;triggering;0;1|ftr02279;triggering;0;1|ftr02284;triggering;0;1|ftr02287;triggering;0;1|ftr02281;triggering;0;1|ftr02286;triggering;0;1
cpx00311	mscpx.311	ModelSEED	null	1.0	ftr03609;triggering;0;1|ftr04133;triggering;0;1
cpx00312	mscpx.312	ModelSEED	null	1.0	ftr06581;triggering;0;1
cpx00313	mscpx.313	ModelSEED	null	1.0	ftr06578;triggering;0;1
cpx00314	mscpx.314	ModelSEED	null	1.0	ftr06582;triggering;0;1
cpx00315	mscpx.315	ModelSEED	null	1.0	ftr06580;triggering;0;1
cpx00316	mscpx.316	ModelSEED	null	1.0	ftr01771;triggering;0;1
cpx00317	mscpx.317	ModelSEED	null	1.0	ftr06579;triggering;0;1
cpx00318	mscpx.318	ModelSEED	null	1.0	ftr02509;triggering;0;1
cpx00319	mscpx.319	ModelSEED	null	1.0	ftr04674;triggering;0;1
cpx00320	mscpx.320	ModelSEED	null	1.0	ftr02612;triggering;0;1
cpx00321	mscpx.321	ModelSEED	null	1.0	ftr03366;triggering;0;1
cpx00322	mscpx.322	ModelSEED	null	1.0	ftr03810;triggering;0;1
cpx00323	mscpx.323	ModelSEED	null	1.0	ftr03809;triggering;0;1
cpx00324	mscpx.324	ModelSEED	null	1.0	ftr09429;triggering;0;1
cpx00325	mscpx.325	ModelSEED	null	1.0	ftr01675;triggering;0;1
cpx00326	mscpx.326	ModelSEED	null	1.0	ftr08206;triggering;0;1
cpx00327	mscpx.327	ModelSEED	null	1.0	ftr08207;triggering;0;1
cpx00328	mscpx.328	ModelSEED	null	1.0	ftr01352;triggering;0;1
cpx00329	mscpx.329	ModelSEED	null	1.0	ftr01549;triggering;0;1|ftr01550;triggering;0;1|ftr02439;triggering;0;1
cpx00330	mscpx.330	ModelSEED	null	1.0	ftr01699;triggering;0;1
cpx00331	mscpx.331	ModelSEED	null	1.0	ftr01628;triggering;0;1
cpx00332	mscpx.332	ModelSEED	null	1.0	ftr00083;triggering;0;1
cpx00333	mscpx.333	ModelSEED	null	1.0	ftr02348;triggering;0;1
cpx00334	mscpx.334	ModelSEED	null	1.0	ftr02551;triggering;0;1
